"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 20 08:39:39 GMT 2022","Wed Jul 20 08:39:41 GMT 2022","2139","","WebsiteTest","","WebsiteTest","insertNewDataTest","insertNewDataTest()",""
"passed","Wed Jul 20 08:39:31 GMT 2022","Wed Jul 20 08:39:33 GMT 2022","1982","","WebsiteTest","","WebsiteTest","portfolioPaginationTest","portfolioPaginationTest()",""
"passed","Wed Jul 20 08:39:37 GMT 2022","Wed Jul 20 08:39:38 GMT 2022","537","","WebsiteTest","","WebsiteTest","isThereConditionsTest","isThereConditionsTest()",""
"passed","Wed Jul 20 08:39:28 GMT 2022","Wed Jul 20 08:39:30 GMT 2022","2090","","WebsiteTest","","WebsiteTest","modifyDataTest","modifyDataTest()",""
"passed","Wed Jul 20 08:39:30 GMT 2022","Wed Jul 20 08:39:31 GMT 2022","1299","","WebsiteTest","","WebsiteTest","loginTest","loginTest()",""
"passed","Wed Jul 20 08:39:41 GMT 2022","Wed Jul 20 08:39:44 GMT 2022","3258","","WebsiteTest","","WebsiteTest","makeRegistrationFromJsonTest","makeRegistrationFromJsonTest()",""
"passed","Wed Jul 20 08:39:36 GMT 2022","Wed Jul 20 08:39:37 GMT 2022","1433","","WebsiteTest","","WebsiteTest","logoutTest","logoutTest()",""
"passed","Wed Jul 20 08:39:46 GMT 2022","Wed Jul 20 08:39:47 GMT 2022","1721","","WebsiteTest","","WebsiteTest","portfolioListComparisonTest","portfolioListComparisonTest()",""
"passed","Wed Jul 20 08:39:33 GMT 2022","Wed Jul 20 08:39:36 GMT 2022","2622","","WebsiteTest","","WebsiteTest","saveDataToFileTest","saveDataToFileTest()",""
"passed","Wed Jul 20 08:39:44 GMT 2022","Wed Jul 20 08:39:46 GMT 2022","1685","","WebsiteTest","","WebsiteTest","deleteUserTest","deleteUserTest()",""
"passed","Wed Jul 20 08:39:38 GMT 2022","Wed Jul 20 08:39:39 GMT 2022","853","","WebsiteTest","","WebsiteTest","registrationTest","registrationTest()",""
